date,festival,sport_event,overall
2020/1/12,9,14,23
2020/2/12,1,3,4
2020/11/17,7410,2189,9599
2020/11/18,533,229,762
2020/11/19,698,214,912
2020/12/1,786,156,942
2020/12/2,90,34,124
2020/12/6,9,7,16
2020/12/7,30,10,40
2020/12/9,59,15,74
2020/12/12,2,4,6
2020/12/16,22,3,25
2020/12/19,99,30,129
2020/12/20,481,124,605
2020/12/23,390,614,1004
2020/12/31,47,24,71
2021/1/2,59,80,139
2021/1/4,456,336,792
2021/1/6,82,17,99
2021/1/7,135,98,233
2021/1/9,11,21,32
2021/1/15,906,245,1151
2021/1/18,18,13,31
2021/1/20,262,56,318
2021/1/23,63,7,70
2021/1/24,238,16,254
2021/1/27,240,91,331
2021/1/28,16,1,17
2021/1/31,4,0,4
2021/2/1,1338,600,1938
2021/2/3,2993,576,3569
2021/2/4,40,3,43
2021/2/5,2,4,6
2021/2/6,14,15,29
2021/2/12,900,1135,2035
2021/2/14,16,3,19
2021/2/15,1028,663,1691
2021/2/17,100,93,193
2021/2/18,447,106,553
2021/2/22,2328,639,2967
2021/2/23,64,54,118
2021/2/25,3,1,4
2021/2/26,446,99,545
2021/3/1,24,4,28
2021/3/2,5,6,11
2021/3/3,68,7,75
2021/3/4,1030,278,1308
2021/3/5,3111,640,3751
2021/3/6,32,50,82
2021/3/7,52,6,58
2021/3/8,1607,846,2453
2021/3/9,33,49,82
2021/3/10,170,66,236
2021/3/12,27,7,34
2021/3/13,174,36,210
2021/3/15,74,75,149
2021/3/20,4,0,4
2021/3/21,12,11,23
2021/3/23,48,1,49
2021/3/26,22,0,22
2021/3/28,24,3,27
2021/4/1,76,121,197
2021/4/3,816,187,1003
2021/4/5,472,367,839
2021/4/6,189,106,295
2021/4/7,1,2,3
2021/4/8,747,231,978
2021/4/9,4,4,8
2021/4/11,25,31,56
2021/4/12,1545,734,2279
2021/4/13,140,60,200
2021/4/14,62,20,82
2021/4/22,83,14,97
2021/5/4,46,65,111
2021/5/9,34,49,83
2021/5/10,4,3,7
2021/5/11,80,136,216
2021/5/12,3,3,6
2021/5/14,1634,634,2268
2021/5/17,1,4,5
2021/5/19,2,4,6
2021/5/20,419,78,497
2021/5/28,38,7,45
2021/5/30,4,0,4
2021/5/31,884,333,1217
2021/6/2,311,130,441
2021/6/3,527,102,629
2021/6/4,30,17,47
2021/6/5,6,5,11
2021/6/10,1311,324,1635
2021/6/12,1,4,5
2021/6/13,1,3,4
2021/6/15,18,6,24
2021/6/22,7,14,21
2021/6/23,3,2,5
2021/6/25,751,151,902
2021/6/28,25,9,34
2021/6/29,16,3,19
2021/6/30,12,1,13
2021/7/1,1665,785,2450
2021/7/3,17,4,21
2021/7/8,123,19,142
2021/7/9,5,9,14
2021/7/10,141,208,349
2021/7/12,744,52,796
2021/7/13,16,3,19
2021/7/15,112,12,124
2021/7/17,2990,215,3205
2021/7/18,744,53,797
2021/7/20,0,8,8
2021/7/26,795,174,969
2021/7/27,2357,673,3030
2021/8/3,128,199,327
2021/8/4,33,53,86
2021/8/7,12,12,24
2021/8/9,968,272,1240
2021/8/10,4,8,12
2021/8/11,43,3,46
2021/8/12,3,5,8
2021/8/19,211,22,233
2021/8/21,1910,652,2562
2021/8/26,412,148,560
2021/8/28,595,60,655
2021/8/29,80,4,84
2021/8/30,6,2,8
2021/8/31,984,405,1389
2021/9/1,918,272,1190
2021/9/2,1,2,3
2021/9/3,91,16,107
2021/9/4,0,1,1
2021/9/5,2870,711,3581
2021/9/7,13,16,29
2021/9/8,22,31,53
2021/9/9,793,258,1051
2021/9/11,301,413,714
2021/9/12,59,95,154
2021/9/14,3,2,5
2021/9/16,1294,409,1703
2021/9/18,76,33,109
2021/9/20,38,25,63
2021/9/21,6,15,21
2021/9/22,3,2,5
2021/9/23,1041,227,1268
2021/9/24,888,341,1229
2021/9/25,179,55,234
2021/9/26,0,3,3
2021/9/27,6153,1929,8082
2021/9/28,536,475,1011
2021/9/29,1437,640,2077
2021/9/30,631,664,1295
2021/10/3,11,42,53
2021/10/5,1376,109,1485
2021/10/6,99,6,105
2021/10/7,4310,1392,5702
2021/10/8,6,11,17
2021/10/10,126,22,148
2021/10/11,490,164,654
2021/10/12,32,52,84
2021/10/14,6,3,9
2021/10/17,45,12,57
2021/10/18,308,45,353
2021/10/19,97,5,102
2021/10/20,92,4,96
2021/10/21,173,18,191
2021/10/22,18,20,38
2021/10/24,176,117,293
2021/10/25,48,4,52
2021/10/26,540,111,651
2021/10/27,105,103,208
2021/10/28,9,20,29
2021/10/30,506,150,656
2021/11/3,76,12,88
2021/11/4,948,229,1177
2021/11/5,1934,762,2696
2021/11/6,51,17,68
2021/11/7,9,3,12
2021/11/8,16,2,18
2021/11/9,6145,1792,7937
2021/11/10,15,26,41
2021/11/11,898,491,1389
2021/11/12,136,10,146
2021/11/13,35,28,63
2021/11/15,202,39,241
2021/11/17,16,3,19
2021/11/18,5209,2311,7520
2021/11/19,8,17,25
2021/11/20,1332,410,1742
2021/11/21,36,3,39
2021/11/22,47,31,78
2021/11/24,1326,357,1683
2021/11/25,364,67,431
2021/11/26,6877,2968,9845
2021/11/28,40,0,40
2021/11/29,88,10,98
2021/11/30,849,86,935
2021/12/1,10842,1723,12565
2021/12/2,9516,4676,14192
2021/12/3,140,14,154
2021/12/4,855,423,1278
2021/12/5,92,8,100
2021/12/6,164,85,249
2021/12/7,12,1,13
2021/12/8,346,122,468
2021/12/9,2722,580,3302
2021/12/10,681,123,804
2021/12/12,20,0,20
2021/12/13,731,126,857
2021/12/14,99,38,137
2021/12/16,73,9,82
2021/12/17,492,61,553
2021/12/18,120,16,136
2021/12/19,58,20,78
2021/12/20,733,194,927
2021/12/21,31,24,55
2021/12/22,158,31,189
2021/12/24,5984,1439,7423
2021/12/25,16,2,18
2021/12/26,203,37,240
2021/12/27,1195,355,1550
2021/12/28,65,12,77
2021/12/29,508,41,549
2021/12/30,417,43,460
2021/12/31,88,13,101
2022/1/1,68,26,94
2022/1/2,49,13,62
2022/1/3,852,222,1074
2022/1/4,36,3,39
2022/1/5,438,175,613
2022/1/6,1809,1122,2931
2022/1/7,55,19,74
2022/1/8,3927,1399,5326
2022/1/9,458,54,512
2022/1/10,620,78,698
2022/1/11,816,66,882
2022/1/12,5954,1707,7661
2022/1/13,7854,2090,9944
2022/1/14,5722,533,6255
2022/1/15,6437,940,7377
2022/1/16,9977,1605,11582
2022/1/17,17186,4662,21848
2022/1/18,19953,2318,22271
2022/1/19,21561,3162,24723
2022/1/20,23861,2257,26118
2022/1/21,12448,747,13195
2022/1/22,16188,1098,17286
2022/1/23,5985,524,6509
2022/1/24,5388,918,6306
2022/1/25,7735,1062,8797
2022/1/26,6969,745,7714
2022/1/27,3039,563,3602
2022/1/28,1678,229,1907
2022/1/29,735,106,841
2022/1/30,949,120,1069
2022/1/31,911,303,1214
2022/2/1,762,125,887
2022/2/2,941,131,1072
2022/2/3,518,446,964
2022/2/4,144,18,162
2022/2/5,395,44,439
2022/2/6,346,232,578
2022/2/7,88,81,169
2022/2/8,537,816,1353
2022/2/9,3311,1309,4620
2022/2/10,25,3,28
2022/2/11,81,1,82
2022/2/12,290,11,301
2022/2/13,1146,332,1478
2022/2/14,669,196,865
2022/2/15,567,220,787
2022/2/16,126,42,168
2022/2/17,1858,661,2519
2022/2/18,41,22,63
2022/2/19,158,78,236
2022/2/20,228,102,330
2022/2/21,146,72,218
2022/2/22,351,113,464
2022/2/23,216,89,305
2022/2/24,204,169,373
2022/2/25,19,14,33
2022/2/26,1134,405,1539
2022/2/27,125,86,211
2022/2/28,886,578,1464
2022/3/1,9817,3112,12929
2022/3/2,4372,1989,6361
2022/3/3,15,29,44
2022/3/4,697,310,1007
2022/3/5,105,56,161
2022/3/6,550,215,765
2022/3/7,382,292,674
2022/3/8,1838,1297,3135
2022/3/9,1416,1126,2542
2022/3/10,301,166,467
2022/3/11,20,27,47
2022/3/12,1,2,3
2022/3/13,3,6,9
2022/3/14,5496,2714,8210
2022/3/15,2678,929,3607
2022/3/16,761,483,1244
2022/3/17,1321,434,1755
2022/3/18,4,2,6
2022/3/19,342,74,416
2022/3/20,13,12,25
2022/3/21,321,169,490
2022/3/22,34,67,101
2022/3/23,44,98,142
2022/3/24,1365,602,1967
2022/3/25,67,133,200
2022/3/26,90,76,166
2022/3/27,53,106,159
2022/3/28,95,190,285
2022/3/29,662,642,1304
2022/3/30,433,149,582
2022/3/31,24,28,52
2022/4/1,5,10,15
2022/4/2,6,13,19
2022/4/3,50,93,143
2022/4/4,44,26,70
2022/4/5,332,223,555
2022/4/6,781,318,1099
2022/4/7,1221,760,1981
2022/4/8,784,297,1081
2022/4/9,222,36,258
2022/4/10,346,111,457
2022/4/11,159,18,177
2022/4/12,132,25,157
2022/4/13,4,2,6
2022/4/14,319,76,395
2022/4/15,108,23,131
2022/4/17,4,2,6
2022/4/18,790,166,956
2022/4/19,1950,512,2462
2022/4/20,12099,3956,16055
2022/4/21,4945,587,5532
2022/4/22,4884,1421,6305
2022/4/23,2874,646,3520
2022/4/24,401,76,477
2022/4/25,3747,1980,5727
2022/4/26,1356,261,1617
2022/4/27,1961,955,2916
2022/4/28,392,85,477
2022/4/29,248,56,304
2022/4/30,646,51,697
2022/5/1,139,19,158
2022/5/2,1120,131,1251
2022/5/4,882,409,1291
2022/5/5,16,0,16
2022/5/6,1261,796,2057
2022/5/7,167,217,384
2022/5/8,237,87,324
2022/5/9,391,50,441
2022/5/10,283,99,382
2022/5/11,654,169,823
2022/5/12,238,130,368
2022/5/15,24,2,26
2022/5/16,791,345,1136
2022/5/17,1862,1603,3465
2022/5/18,331,67,398
2022/5/19,489,122,611
2022/5/20,303,79,382
2022/5/21,434,180,614
2022/5/22,443,170,613
2022/5/23,263,367,630
2022/5/24,99,84,183
2022/5/25,122,29,151
2022/5/26,99,18,117
2022/5/27,44,8,52
2022/5/28,21,5,26
2022/5/29,42,9,51
2022/5/30,695,275,970
2022/5/31,46,14,60
2022/6/1,1760,1331,3091
2022/6/2,1001,925,1926
2022/6/3,368,253,621
2022/6/4,520,425,945
2022/6/5,239,167,406
2022/6/6,53,157,210
2022/6/7,49,70,119
2022/6/8,90,151,241
2022/6/9,98,183,281
2022/6/10,0,3,3
2022/6/12,2,28,30
2022/6/13,246,222,468
2022/6/14,826,1053,1879
2022/6/15,9,39,48
2022/6/16,371,429,800
2022/6/17,10,53,63
2022/6/18,18,13,31
2022/6/19,155,177,332
2022/6/20,16,70,86
2022/6/21,0,4,4
2022/6/23,13,22,35
2022/6/24,270,290,560
2022/6/25,27,23,50
2022/6/26,8,19,27
2022/6/27,209,394,603
2022/6/28,89,177,266
2022/6/29,224,170,394
2022/6/30,326,399,725
2022/7/1,793,1005,1798
2022/7/2,280,560,840
2022/7/3,363,700,1063
2022/7/4,916,1324,2240
2022/7/5,420,639,1059
2022/7/6,260,354,614
2022/7/7,35,80,115
2022/7/8,1359,1374,2733
2022/7/9,2,16,18
2022/7/11,36,33,69
2022/7/12,119,279,398
2022/7/13,129,199,328
2022/7/14,2835,2744,5579
2022/7/15,90,102,192
2022/7/16,1055,1046,2101
2022/7/17,204,229,433
2022/7/18,2,36,38
2022/7/19,201,375,576
2022/7/20,636,702,1338
2022/7/21,0,58,58
2022/7/22,474,454,928
2022/7/23,91,345,436
2022/7/24,287,374,661
2022/7/25,138,321,459
2022/7/26,177,237,414
2022/7/27,49,165,214
2022/7/28,247,460,707
2022/7/29,49,256,305
2022/7/30,42,72,114
2022/7/31,157,353,510
2022/8/1,154,307,461
2022/8/2,0,154,154
2022/8/3,109,416,525
2022/8/4,0,2,2
2022/8/5,0,8,8
2022/8/6,423,405,828
2022/8/7,454,761,1215
2022/8/8,656,679,1335
2022/8/9,347,222,569
2022/8/10,325,330,655
2022/8/11,274,268,542
2022/8/12,475,343,818
2022/8/13,2031,2406,4437
2022/8/14,2633,1203,3836
2022/8/15,6269,1451,7720
2022/8/16,790,324,1114
2022/8/17,5870,1913,7783
2022/8/18,4407,1012,5419
2022/8/19,3014,1712,4726
2022/8/20,677,801,1478
2022/8/21,4729,1956,6685
2022/8/22,2224,1325,3549
2022/8/23,270,662,932
2022/8/24,186,335,521
2022/8/25,1537,1950,3487
2022/8/26,1313,1827,3140
2022/8/27,787,1537,2324
2022/8/28,405,940,1345
2022/8/29,564,847,1411
2022/8/30,797,712,1509
2022/8/31,412,468,880
2022/9/1,1153,1251,2404
2022/9/2,266,364,630
2022/9/3,1823,2383,4206
2022/9/4,1698,1595,3293
2022/9/5,1590,1942,3532
2022/9/6,700,756,1456
2022/9/7,595,617,1212
2022/9/8,1023,1175,2198
2022/9/9,285,287,572
2022/9/10,316,651,967
2022/9/11,260,547,807
2022/9/12,18,520,538
2022/9/13,138,159,297
2022/9/14,9,433,442
2022/9/15,33,105,138
2022/9/16,48,28,76
2022/9/17,71,76,147
2022/9/18,542,499,1041
2022/9/19,911,648,1559
2022/9/20,822,408,1230
2022/9/21,159,97,256
2022/9/22,152,144,296
2022/9/24,1199,830,2029
2022/9/25,847,576,1423
2022/9/26,593,404,997
2022/9/27,107,92,199
2022/9/28,103,156,259
2022/9/29,37,35,72
2022/9/30,22,23,45
2022/10/1,93,82,175
2022/10/3,111,115,226
2022/10/4,90,88,178
2022/10/5,266,216,482
2022/10/6,369,457,826
2022/10/7,139,282,421
2022/10/8,636,993,1629
2022/10/9,321,488,809
2022/10/10,23,46,69
2022/10/11,23,95,118
2022/10/12,12,72,84
2022/10/13,20,81,101
2022/10/14,19,73,92
2022/10/15,19,54,73
2022/10/16,16,70,86
2022/10/17,10,39,49
2022/10/18,11,33,44
2022/11/7,20,28,48
2022/11/8,214,332,546
2022/12/1,175,271,446
2022/12/5,1,3,4
2022/12/7,57,78,135
2022/12/8,1148,1794,2942
